xi_1,xi_2,P
0.3398940039845664,1.9034713693936385,0.0
0.3344250681327272,1.8955894581299875,0.0
0.32903522352439274,1.887653252511582,0.0
0.32372500913953317,1.8796635461523703,0.0
0.3184949559951612,1.8716211380163303,0.0
0.3133455870922327,1.8635268323375733,0.0
0.3082774173633476,1.8553814385399225,0.0
0.30329095362125447,1.8471857711559694,0.0
0.2983866945081728,1.8389406497456229,0.0
0.2935651304459267,1.8306468988141529,0.0
0.2888267435869045,1.8223053477297415,0.0
0.2841720077658434,1.8139168306405455,0.0
0.27960138845244686,1.8054821863912838,0.0
0.27511534270483706,1.797002258439352,0.0
0.2707143191238506,1.7884778947704791,0.0
0.2663987578081778,1.779909947813928,0.0
0.2621690903103543,1.771299274357255,0.0
0.25802573959360486,1.7626467354606294,0.0
0.25396911998954874,1.7539531963707315,0.0
0.24999963715676543,1.7452195264342247,0.0
0.2461176880402306,1.7364465990108255,0.0
0.2423236608316207,1.7276352913859645,0.0
0.23861793493049532,1.7187864846830625,0.0
0.23500088090635596,1.7099010637754148,0.0
0.23147286046159132,1.7009799171977087,0.0
0.22803422639530557,1.6920239370571666,0.0
0.22468532256803997,1.6830340189443402,0.0
0.22142648386738617,1.6740110618435486,0.0
0.21825803617449913,1.6649559680429835,0.0
0.21518029633150737,1.6558696430444784,0.0
0.21219357210983036,1.6467529954729612,0.0
0.20929816217940156,1.6376069369855923,0.0
0.20649435607880107,1.6284323821805982,0.0
0.2037824341863026,1.6192302485058148,0.0
0.20116266769183522,1.6100014561669402,0.0
0.19863531856986538,1.6007469280355184,0.0
0.19620063955319922,1.59146758955665,0.0
0.1938588741077093,1.5821643686564506,0.0
0.191610256407989,1.5728381956492568,0.0
0.18945501131393438,1.5634900031445986,0.0
0.18739335434825843,1.5541207259539351,0.0
0.18542549167494038,1.5447313009971788,0.0
0.18355162007860693,1.5353226672090001,0.0
0.18177192694485678,1.5258957654449379,0.0
0.18008659024151974,1.5164515383873123,0.0
0.17849577850086218,1.5069909304509594,0.0
0.17699965080273206,1.4975148876887885,0.0
0.17559835675865265,1.4880243576971797,0.0
0.17429203649686054,1.4785202895212228,0.0
0.17308082064829344,1.4690036335598162,0.0
0.17196483033352672,1.4594753414706245,0.0
0.1709441771506619,1.4499363660749176,0.0
0.17001896316416676,1.4403876612622848,0.0
0.1691892808946689,1.430830181895251,0.0
0.16845521330970392,1.4212648837137873,0.0
0.16781683381541845,1.4116927232397423,0.0
0.16727420624923028,1.4021146576811856,0.0
0.1668273848734434,1.3925316448366911,0.0
0.1664764143698234,1.3829446429995584,0.0
0.16622132983512794,1.3733546108619814,0.0
0.16606215677759806,1.3637625074191826,0.0
0.1659989111144068,1.3541692918735122,0.0
0.1660315991700677,1.3445759235385313,0.0
0.1661602176758027,1.3349833617430782,0.0
0.16638475376986805,1.3253925657353394,0.0
0.16670518499884168,1.3158044945869225,0.0
0.16712147931986776,1.3062201070969532,0.0
0.16763359510386078,1.296640361696193,0.0
0.16824148113966952,1.2870662163511992,0.0
0.16894507663919678,1.2774986284685272,0.0
0.16974431124347888,1.2679385547989934,0.0
0.17063910502972157,1.258386951341997,0.0
0.17162936851929167,1.248844773249925,0.0
0.17271500268666573,1.2393129747326337,0.0
0.17389589896933133,1.2297925089620327,0.0
0.1751719392786446,1.2202843279767648,0.0
0.17654299601163792,1.2107893825870055,0.0
0.17800893206378032,1.2013086222793807,0.0
0.17956960084268836,1.1918429951220215,0.0
0.1812248462827848,1.1823934476697546,0.0
0.18297450286090478,1.1729609248694515,0.0
0.18481839561284863,1.1635463699655313,0.0
0.18675634015087772,1.1541507244056388,0.0
0.18878814268215327,1.1447749277465011,0.0
0.19091360002811542,1.13541991755997,0.0
0.19313249964480028,1.1260866293392693,0.0
0.19544461964409587,1.1167759964054422,0.0
0.19784972881592855,1.1074889498140248,0.0
0.20034758665138575,1.0982264182619355,0.0
0.20293794336676518,1.0889893279946117,0.0
0.2056205399285541,1.079778602713382,0.0
0.2083951080793317,1.0705951634831,0.0
0.21126137036459525,1.0614399286400342,0.0
0.21421904016050441,1.0523138137000414,0.0
0.21726782170254477,1.043217731267009,0.0
0.22040741011510223,1.0341525909416014,0.0
0.22363749144195233,1.025119299230296,0.0
0.22695774267765378,1.016118759454737,0.0
0.2303678317998502,1.0071518716614007,0.0
0.23386741780247067,0.998219532531595,0.0
0.23745615072983162,0.9893226352917883,0.0
0.2411336717116307,0.9804620696242915,0.0
0.24489961299883456,0.9716387215782867,0.0
0.24875359800045227,0.9628534734812264,0.0
0.25269524132119603,0.9541072038505987,0.0
0.2567241488000177,0.9454007873060786,0.0
0.2608399175495273,0.9367350944820652,0.0
0.26504213599627957,0.928110991940619,0.0
0.26933038392193154,0.9195293420848083,0.0
0.27370423250526466,0.9109910030724662,0.0
0.27816324436506457,0.9024968287303798,0.0
0.2827069736038619,0.894047668468904,0.0
0.28733496585251883,0.8856443671970247,0.0
0.2920467583156674,0.8772877652378657,0.0
0.2968418798179874,0.8689786982446597,0.0
0.3017198508513249,0.8607179971171812,0.0
0.30668018362264116,0.8525064879186598,0.0
0.3117223821027931,0.8443449917931716,0.0
0.31684594207613404,0.8362343248835287,0.0
0.3220503511909367,0.8281752982496626,0.0
0.32733508901062613,0.8201687177875214,0.0
0.3326996270658249,0.8122153841484787,0.0
0.3381434289071972,0.8043160926592712,0.0
0.34366595015909607,0.7964716332424642,0.0
0.34926663857399787,0.7886827903374634,0.0
0.35494493408772876,0.7809503428220678,0.0
0.3607002688754687,0.7732750639345858,0.0
0.36653206740853583,0.7656577211965097,0.0
0.3724397465119358,0.7580990763357659,0.0
0.378422715422682,0.7505998852105412,0.0
0.3844803758488686,0.7431608977336994,0.0
0.39061212202950135,0.7357828577977887,0.0
0.396817340795072,0.7284665032006542,0.0
0.40309541162887486,0.7212125655716589,0.0
0.40944570672905833,0.7140217702985205,0.0
0.41586759107140403,0.7068948364547746,0.0
0.4223604224728298,0.6998324767278656,0.0
0.4289235516556055,0.6928353973478819,0.0
0.4355563223122829,0.6859042980169298,0.0
0.44225807117132265,0.679039871839167,0.0
0.4490281280634245,0.6722428052514906,0.0
0.4558658159885405,0.6655137779548955,0.0
0.4627704511835765,0.6588534628465035,0.0
0.4697413431907661,0.6522625259522756,0.0
0.4767777949267188,0.6457416263604084,0.0
0.48387910275212354,0.6392914161554273,0.0
