gamma,xi_1,xi_2
1.2056403124648871,1.0669767278508975,1.2542040998170008
1.2161241412689296,1.0659661669140459,1.2501914916825658
1.2266079700729722,1.0649399364815118,1.2461166633241962
1.2370917988770145,1.0638982986434726,1.2419806579927413
1.247575627681057,1.0628415131818685,1.2377845072236973
1.2580594564850995,1.061769832658108,1.2335292146280281
1.268543285289142,1.0606835019953917,1.2292157523210576
1.2790271140931846,1.0595827604048038,1.224845067154297
1.2895109428972271,1.0584678478090752,1.2204181118362813
1.2999947717012696,1.0573389893068148,1.2159357830015511
1.310478600505312,1.056196414704308,1.211398992217701
1.3209624293093545,1.0550403438820162,1.206808612424856
1.331446258113397,1.0538709929882204,1.2021655018973334
1.3419300869174395,1.0526885728658473,1.1974704979914887
1.352413915721482,1.0514932916577437,1.1927244269545827
1.3628977445255246,1.0502853518620865,1.18792809278717
1.3733815733295671,1.049064951997936,1.1830822836529358
1.3838654021336094,1.0478322864178875,1.178187771204809
1.394349230937652,1.0465875452718971,1.1732453105887968
1.4048330597416945,1.0453309149828292,1.1682556420162784
1.415316888545737,1.0440625780416604,1.163219490209237
1.4258007173497795,1.0427827133495478,1.1581375655104873
1.436284546153822,1.0414914962182655,1.1530105639512511
1.4467683749578646,1.0401890983682893,1.1478391673646244
1.457252203761907,1.038875688076187,1.1426240439096829
1.4677360325659494,1.0375514302614621,1.1373658484124765
1.478219861369992,1.0362164865726953,1.132065222699887
1.4887036901740345,1.034871015467976,1.1267227959235635
1.499187518978077,1.033515172300165,1.1213391848771983
1.5096713477821195,1.0321491093962483,1.1159149943039752
1.520155176586162,1.0307729761381723,1.1104508172091854
1.5306390053902044,1.02938691882407,1.1049472347559655
1.541122834194247,1.0279910814219637,1.0994048188885799
1.5516066629982894,1.0266106574764091,1.0939236045899063
1.562090491802332,1.0252971735811325,1.0887081893740778
1.5725743206063745,1.024534672773762,1.0856805481026297
1.583058149410417,1.024534672773762,1.0856805481026297
1.5935419782144595,1.024534672773762,1.0856805481026297
1.6040258070185018,1.024534672773762,1.0856805481026297
1.6145096358225444,1.024534672773762,1.0856805481026297
1.624993464626587,1.024534672773762,1.0856805481026297
1.6354772934306294,1.024534672773762,1.0856805481026297
1.645961122234672,1.024534672773762,1.0856805481026297
1.6564449510387145,1.024534672773762,1.0856805481026297
1.666928779842757,1.024534672773762,1.0856805481026297
1.6774126086467993,1.024534672773762,1.0856805481026297
1.6878964374508418,1.024534672773762,1.0856805481026297
1.6983802662548844,1.024534672773762,1.0856805481026297
1.708864095058927,1.024534672773762,1.0856805481026297
1.7193479238629694,1.024534672773762,1.0856805481026297
1.729831752667012,1.024534672773762,1.0856805481026297
1.7403155814710545,1.024534672773762,1.0856805481026297
1.750799410275097,1.024534672773762,1.0856805481026297
1.7612832390791393,1.024534672773762,1.0856805481026297
1.7717670678831818,1.024534672773762,1.0856805481026297
1.7822508966872244,1.024534672773762,1.0856805481026297
1.792734725491267,1.024534672773762,1.0856805481026297
1.8032185542953094,1.024534672773762,1.0856805481026297
1.813702383099352,1.024534672773762,1.0856805481026297
1.8241862119033945,1.024534672773762,1.0856805481026297
1.8346700407074368,1.024534672773762,1.0856805481026297
1.8451538695114793,1.024534672773762,1.0856805481026297
1.8556376983155218,1.024534672773762,1.0856805481026297
1.8661215271195644,1.024534672773762,1.0856805481026297
1.8766053559236069,1.024534672773762,1.0856805481026297
1.8870891847276494,1.024534672773762,1.0856805481026297
1.897573013531692,1.024534672773762,1.0856805481026297
1.9080568423357342,1.024534672773762,1.0856805481026297
1.9185406711397768,1.024534672773762,1.0856805481026297
1.9290244999438193,1.024534672773762,1.0856805481026297
1.9395083287478618,1.024534672773762,1.0856805481026297
1.9499921575519044,1.024534672773762,1.0856805481026297
1.9604759863559469,1.024534672773762,1.0856805481026297
1.9709598151599894,1.024534672773762,1.0856805481026297
1.9814436439640317,1.024534672773762,1.0856805481026297
1.9919274727680742,1.024534672773762,1.0856805481026297
2.002411301572117,1.024534672773762,1.0856805481026297
