gamma,nom,rob,sat,grob,reg,oracle,guarantee_garo,guarantee_sat
0.3145148641212749,0.08178897407779062,1.601571764098253e-9,0.04187287249495775,0.0062662495517973316,0.10127572454272005,1.0881430827806051,0.045828661816361964,0.041872872633188285
0.3249986929253174,0.08676843850241389,-1.2077112643282817e-9,0.045242260418292934,0.007057716603797726,0.10666669851389465,1.088143085549223,0.045828661816361964,0.04524226057150377
0.3354825217293599,0.09174790641395347,-4.717735091475106e-10,0.048611651853886384,0.007849187173627259,0.11205767603106542,1.088143084789497,0.045828661816361964,0.04861165203816284
0.34596635053340236,0.09672737295032552,-1.0817093887283136e-9,0.05198104192184272,0.008640656382329581,0.11744865217878497,1.0881430854004683,0.045828661816361964,0.0519810421341248
0.3564501793374449,0.10170684106889682,-2.142719335296306e-10,0.05535043357854841,0.00943212717258457,0.12283962990820929,1.0881430844297217,0.045828661816361964,0.05535043381180464
0.36693400814148736,0.10668630851015815,6.124212248437289e-11,0.05871982455255864,0.010223597272287721,0.12823060695078725,1.0881430841429978,0.045828661816361964,0.058719824805461854
0.3774178369455299,0.11166577581653492,1.5324830293650393e-10,0.06208921537255341,0.011015067222284403,0.133621583709558,1.0881430840135984,0.045828661816361964,0.062089215641794496
0.38790166574957236,0.1166452433831644,4.2188808002663336e-10,0.0654586064268623,0.011806537404751793,0.13901256067800527,1.0881430836489097,0.045828661816361964,0.06545860671341645
0.3983854945536149,0.12162471098465621,7.339023611052653e-9,0.06882799748807766,0.012598007588549898,0.14440353770003012,1.0881430832792864,0.045828661816361964,0.06882799778997292
0.40886932335765735,0.12660417845513194,7.2218877544827365e-9,0.07219738839143619,0.013389477618871659,0.1497945146014843,1.0881430830662515,0.045828661816361964,0.07219738870994108
0.4193531521616998,0.13158364580637683,6.7355341304420335e-9,0.07556677916103727,0.014180947509350394,0.1551854913952193,1.0881430829899692,0.045828661816361964,0.07556677949315663
0.42983698096574235,0.13656311293302315,1.1804164312678722e-9,0.07893616983240115,0.014972417301890584,0.16057646803812853,1.088143083010655,0.045828661816361964,0.07893617017940399
0.4403208097697848,0.14154257928696712,5.035255545848827e-9,0.08230555966077358,0.015763886251101367,0.16596744382239637,1.0881430838774335,0.045828661816361964,0.0823055600195588
0.45080463857382735,0.1465220473134079,4.851984813925014e-9,0.08567495113475565,0.016555356838488855,0.17135842124373046,1.0881430831001069,0.045828661816361964,0.08567495150381871
0.4612884673778698,0.15150151493774322,6.274158304009347e-9,0.08904434223844193,0.017346827053698055,0.1767493982991304,1.0881430826982585,0.045828661816361964,0.08904434261260027
0.47177229618191235,0.15648098209374117,6.342610880949451e-9,0.09241373295016864,0.018138296869163906,0.18214037498778302,1.0881430826939678,0.045828661816361964,0.09241373332382433
0.4822561249859548,0.16146044928987302,6.44235220725875e-9,0.09578312367112929,0.018929766708777773,0.18753135171986646,1.0881430826826606,0.045828661816361964,0.09578312404206474
0.49273995378999735,0.16643991421423943,4.166664790972163e-9,0.09915251210238263,0.019721234311527835,0.19292232622849115,1.0881430849642737,0.045828661816361964,0.09915251246738485
0.5032237825940398,0.17141938232449427,2.5685076288084474e-10,0.10252190372406722,0.020512705018358224,0.1983133039914644,1.0881430840598993,0.045828661816361964,0.10252190407869244
0.5137076113980823,0.17639885032678349,6.032063293304191e-9,0.10589129524661223,0.02130417564965925,0.20370428168447519,1.088143083257208,0.045828661816361964,0.10589129558831692
0.5241914402021248,0.18137831773422985,6.395084906074544e-9,0.10926068616930928,0.02209564555823973,0.2090952588122883,1.088143083044557,0.045828661816361964,0.10926068650790119
0.5346752690061674,0.18635778510202794,6.240338024099401e-9,0.11263007710051753,0.02288711554668632,0.2144862359542754,1.0881430828575827,0.045828661816361964,0.11263007740180889
0.5451590978102098,0.19133725237864407,6.572435928831055e-9,0.11599946793090687,0.023678585440568334,0.2198772130608717,1.0881430827589407,0.045828661816361964,0.11599946820738408
0.5556429266142523,0.1963167196592308,6.9283643266970785e-9,0.11936885877238534,0.024470055332721286,0.2252681900624589,1.0881430826592748,0.045828661816361964,0.11936885901398317
0.5661267554182948,0.20129618688331896,6.850329858920645e-9,0.12273824955566104,0.025261525162785015,0.23065916691206478,1.0881430826147418,0.045828661816361964,0.12273824976544948
0.5766105842223374,0.2062756541807711,4.5207806387281835e-9,0.12610764040242772,0.026052995054571593,0.23605014378454614,1.0881430824989873,0.045828661816361964,0.12610764058813723
0.5870944130263798,0.21125512130583934,7.075283470214799e-9,0.1294770284860549,0.026844464782685762,0.2414411204749245,1.088143082547397,0.045828661816361964,0.12947703124666074
0.5975782418304223,0.21623458861694456,6.889702364176742e-9,0.13284642067104646,0.02763593468335568,0.24683209734517275,1.088143082418896,0.045828661816361964,0.13284642208209496
0.6080620706344648,0.22121405570868502,7.017063374803456e-9,0.1362158116849852,0.02842740449071912,0.25222307410680767,1.0881430823998737,0.045828661816361964,0.13621581280805056
0.6185458994385072,0.22619352296779116,7.105185995115448e-9,0.13958520277147146,0.029218874239081094,0.2576140508203695,1.0881430824299374,0.045828661816361964,0.13958520348492007
0.6290297282425498,0.2311729902293458,7.196906626205646e-9,0.1429545936781993,0.03001034409570069,0.2630050276473368,1.0881430823569043,0.045828661816361964,0.14295459426488644
0.6395135570465923,0.2361524552998835,7.336448781813942e-9,0.1463239844542512,0.03080181384385594,0.2683960065389981,1.088143082389254,0.045828661816361964,0.14632398493947002
0.6499973858506348,0.24113192454888188,5.588839835368731e-9,0.1496933751594387,0.03159328408117146,0.27378698084759234,1.0881430824161056,0.045828661816361964,0.14969337561955165
0.6604812146546772,0.24611139176295693,7.460095652334076e-9,0.15306276594377444,0.03238475392041962,0.27917795753013186,1.0881430823911475,0.045828661816361964,0.1530627663514429
0.6709650434587198,0.25109085891979466,9.10798458875206e-9,0.15643215665007104,0.0331762237067883,0.2845689341817048,1.0881430824288425,0.045828661816361964,0.1564321570206812
0.6814488722627623,0.2560703261929247,6.978921884837064e-9,0.15980154743354547,0.033967693603823124,0.2899599110180995,1.0881430823469467,0.045828661816361964,0.15980154780951028
0.6919327010668047,0.261049793413882,7.633154996966596e-9,0.16317093813220862,0.034759163457708686,0.2953508878135078,1.0881430823208853,0.045828661816361964,0.16317093854250486
0.7024165298708472,0.2660292605842107,7.030066750957076e-9,0.1665403287423668,0.035550633452496205,0.30074186456493,1.0881430823451743,0.045828661816361964,0.1665403292251491
0.7129003586748898,0.27100872775021134,7.510696953261231e-9,0.16990971935224208,0.036342103028506045,0.30613284133220287,1.0881430823672353,0.045828661816361964,0.16990971991002132
0.7233841874789323,0.2759881949325145,5.573708161676905e-9,0.17327910997103935,0.037133572852793284,0.31152381809741536,1.088143082364119,0.045828661816361964,0.17327911062007098
0.7338680162829747,0.28096766208903,5.831809257728082e-9,0.17664850049618996,0.037925042649219476,0.3169147948572679,1.0881430823844243,0.045828661816361964,0.17664850130669887
0.7443518450870172,0.28594712923222665,7.2879366985745264e-9,0.18001789100792842,0.03871651243826091,0.32230577162037766,1.088143082416448,0.045828661816361964,0.18001789198160842
0.7548356738910598,0.29092659642203333,7.4311763409440346e-9,0.18338728158802886,0.039507982275645004,0.3276967484291251,1.0881430823902953,0.045828661816361964,0.18338728271469432
0.7653195026951022,0.2959060636494588,7.01831148752774e-9,0.18675667226339532,0.04029945217684516,0.3330877253010147,1.0881430823084757,0.045828661816361964,0.18675667350344718
0.7758033314991447,0.300885530627111,7.565625459449166e-9,0.19012606281218658,0.041090921872585895,0.3384787019900004,1.0881430823978437,0.045828661816361964,0.19012606412101238
